0:0:0:0:0:0:0:1 - - [21/May/2017:15:56:05 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:56:37 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [21/May/2017:15:56:44 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:25 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:26 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:26 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:37 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:37 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:37 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:38 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:38 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:38 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:38 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:38 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:38 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:38 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:44 +0800] "GET /hdfs_file_upload/bushu HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [21/May/2017:15:57:44 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
