127.0.0.1 - - [19/May/2017:16:12:35 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/May/2017:18:24:12 +0800] "GET /hdfs_file_upload/ HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [19/May/2017:18:24:13 +0800] "GET /hdfs_file_upload/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:18:24:13 +0800] "GET /hdfs_file_upload/picture_css/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:18:24:13 +0800] "GET /hdfs_file_upload/add HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [19/May/2017:18:24:13 +0800] "GET /hdfs_file_upload/wl.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [19/May/2017:18:24:13 +0800] "GET /hdfs_file_upload/login HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [19/May/2017:18:24:13 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/May/2017:18:24:23 +0800] "GET /hdfs_file_upload/bushu.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [19/May/2017:18:24:33 +0800] "GET /hdfs_file_upload/jsp/bushu.jsp HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [19/May/2017:18:24:43 +0800] "GET /hdfs_file_upload/WEB-INF/jsp/bushu.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/May/2017:18:25:07 +0800] "GET /hdfs_file_upload/WEB-INF/jsp/bushu.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/May/2017:18:25:08 +0800] "GET /hdfs_file_upload/WEB-INF/jsp/bushu.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/May/2017:18:25:10 +0800] "GET /hdfs_file_upload/WEB-INF/jsp/bushu.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/May/2017:18:25:10 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/May/2017:18:25:11 +0800] "GET /hdfs_file_upload/WEB-INF/jsp/bushu.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/May/2017:18:25:11 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/May/2017:18:25:11 +0800] "GET /hdfs_file_upload/WEB-INF/jsp/bushu.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/May/2017:18:25:11 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/May/2017:18:25:11 +0800] "GET /hdfs_file_upload/WEB-INF/jsp/bushu.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/May/2017:18:25:11 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/May/2017:18:25:11 +0800] "GET /hdfs_file_upload/WEB-INF/jsp/bushu.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/May/2017:18:25:11 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
